stock,tick
Grauer And Weil (India) Ltd,GRAU
Graviss Hospitality Ltd,GRAVI
Gravita India Ltd,GRAI
Gravity (India) Ltd,GRAV
Great Eastern Shipping Company Ltd,GESC
Greaves Cotton Ltd,GRVL
Greenchef Appliances Ltd,GREE
Greencrest Financial Services Ltd,GRE
Greenhitech Ventures Ltd,GVL
Greenlam Industries Ltd,GEEN
Greenpanel Industries Ltd,GREP
Greenply Industries Ltd,GRPL
Gretex Corporate Services Ltd,GCS
Gretex Industries Ltd,GREX
Grill Splendour Services Ltd,BIRD
Grindwell Norton Ltd,GRNN
Groarc Industries India Ltd,TEL
Grob Tea Co Ltd,THEG
Grovy India Ltd,GRO
Growington Ventures India Ltd,VMV
Gufic Biosciences Ltd,GUFI
Gujarat Alkalies And Chemicals Ltd,GALK
Gujarat Ambuja Exports Ltd,GAME
Gujarat Apollo Industries Ltd,GJAI
Gujarat Containers Ltd,GUJCN
Gujarat Cotex Ltd,GUJCO
Gujarat Craft Industries Ltd,GUJCR
Gujarat Fluorochemicals Ltd,GUJL
Gujarat Gas Ltd,GGAS
Gujarat Hotels Ltd,GUJH
Gujarat Hy Spin Ltd,GUJ
Gujarat Industries Power Company Ltd,GJIP
Gujarat Intrux Ltd,GUJIN
Gujarat Lease Financing Ltd,GLSE
Gujarat Mineral Development Corporation Ltd,GMDC
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC
Gujarat Natural Resources Ltd,GNR
Gujarat Petrosynthese Ltd,GUJPE
Gujarat Pipavav Port Ltd,GPPL
Gujarat Poly Electronics Ltd,GUJA
Gujarat Raffia Industries Ltd,GJRI
Gujarat State Fertilizers & Chemicals Ltd,GSFC
Gujarat State Financial Corp,GUJS
Gujarat State Petronet Ltd,GSPT
Gujarat Terce Laboratories Ltd,GUJT
Gujarat Themis Biosyn Ltd,GUJTH
Gujarat Toolroom Ltd,GUJTL
Gujchem Distillers India Ltd,GUJCM
Gujrat Credit Corporation Ltd,GUJCE
Gulf Oil Lubricants India Ltd,GOLU
Gulshan Polyols Ltd,GULS
Gyan Developers and Builders Ltd,GYA
H P Cotton Textile Mills Ltd,HPCO
H S India Ltd,HOT
HB Estate Developers Ltd,HBES
HB Leasing and Finance Co Ltd,HBL
HB Portfolio Ltd,HBP
HB Stockholdings Ltd,HBSH
HBL Power Systems Ltd,HBLS
HCL Infosystems Ltd,HCLI
HCL Technologies Ltd,HCLT
HCP Plastene Bulkpack Ltd,GOPA
HDFC Asset Management Company Ltd,HDFA
HDFC Bank Ltd,HDBK
HDFC Gold Exchange Traded Fund,HDGO
HDFC Life Insurance Company Ltd,HDFL
HDFC NIFTY Midcap 150 ETF,HDFCD
HDFC NIFTY Smallcap 250 ETF,HDFCH
HDFC Nifty 100 ETF,HDF
HDFC Nifty 1D Rate Liquid ETF,HDFCU
HDFC Nifty 50 ETF,HDFN
HDFC Nifty Bank ETF,HDFB
HDFC Nifty Growth Sectors 15 ETF,HDFCG
HDFC Nifty IT ETF,HDFCI
HDFC Nifty NEXT 50 ETF,HDFCN
HDFC Nifty PSU Bank ETF,HDFCK
HDFC Nifty Private Bank ETF,HDFCP
HDFC Nifty100 Low Volatility 30 ETF,HDFCL
HDFC Nifty100 Quality 30 ETF,HDFCQ
HDFC Nifty200 Momentum 30 ETF,HDFCM
HDFC Nifty50 Value 20 ETF,HDFCV
HDFC S&P BSE 500 ETF,HDFCB
HDFC S&P BSE Sensex ETF,HDSE
HDFC Silver ETF,HDFCS
HEC Infra Projects Ltd,HECF
HEG Ltd,HEGL
HFCL Ltd,HFCL
HG Infra Engineering Ltd,HGIN
HIL Ltd,HLLT
HIM Teknoforge Ltd,HIMT
HLE Glascoat Ltd,HLE
HLV Ltd,HLVL
HMA Agro Industries Ltd,HMA
HMT Ltd,HMTL
HOV Services Ltd,HOVS
HPL Electric & Power Ltd,HPLE
HT Media Ltd,HTML
Halder Venture Ltd,HAL
Haldyn Glass Ltd,HALD
Hampton Sky Realty Ltd,RPI
Hanman Fit Ltd,HAN
Happiest Minds Technologies Ltd,HAPP
Happy Forgings Ltd,HAP
Hardcastle and Waud Manufacturing Co Ltd,HARD
Hardwyn India Ltd,HAR
Hari Govind International Ltd,HARIG
Haria Apparels Ltd,HARIA
Haria Exports Ltd,HARIE
Hariom Pipe Industries Ltd,HARIO
Harish Textile Engineers Ltd,HARI
Harita Seating Systems Ltd,HASS
Hariyana Ship Breakers Ltd,HRY
Hariyana Ventures Ltd,HARM
Harmony Capital Services Ltd,HRM
Harrisons Malayalam Ltd,HRMA
Harsha Engineers International Ltd,HARS
Harshdeep Hortico Ltd,HARSH
Harshil Agrotech Ltd,MIR
Haryana Capfin Ltd,HARY
Haryana Leather Chemicals Ltd,HARL
Has Lifestyle Ltd,HAS
Hasti Finance Ltd,HAST
Hathway Bhawani Cabletel and Datacom Ltd,HAT
Hathway Cable and Datacom Ltd,HAWY
Hatsun Agro Product Ltd,HAPL
Havells India Ltd,HVEL
Hawa Engineers Ltd,HAW
Hawkins Cookers Ltd,HAWK
Hazoor Multi Projects Ltd,HAZ
Heads UP Ventures Limited,TEMA
Healthcare Global Enterprises Ltd,HEAC
Healthy Investments Ltd,HEAL
Healthy Life Agritec Ltd,HEALH
Heera Ispat Ltd,HEE
Heidelbergcement India Ltd,HEID
Helpage Finlease Ltd,HEL
Hemadri Cements Ltd,HEMA
Hemang Resources Ltd,HEM
Hemant Surgical Industries Ltd,HSI
Hemisphere Properties India Ltd,HEMI
Hemo Organic Ltd,HEMO
Heranba Industries Ltd,HER
Hercules Hoists Ltd,HERC
Heritage Foods Ltd,HEFI
Hero MotoCorp Ltd,HROM
Hester Biosciences Ltd,HEST
Heubach Colorants India Ltd,CLAC
Hexa Tradex Ltd,HEXA
Hi-Green Carbon Ltd,HIGR
Hi-Klass Trading and Investment Ltd,HIK
Hi-Tech Gears Ltd,HTGR
Hi-Tech Pipes Ltd,HITC
High Energy Batteries (India) Ltd,HIGH
Highway Infrastructure Ltd,HIGHW
Hikal Ltd,HIKA
Hiliks Technologies Ltd,HIL
Hilton Metal Forging Ltd,HILT
Himadri Speciality Chemical Ltd,HIMD
Himalaya Food International Ltd,HFI
Himatsingka Seide Ltd,HMSD
Hind Aluminium Industries Ltd,HIN
Hind Commerce Ltd,HCL
Hind Rectifiers Ltd,HRCT
Hindalco Industries Ltd,HALC
Hindcon Chemicals Ltd,HIDN
Hindoostan Mills Ltd,HINDM
Hindprakash Industries Ltd,HINP
Hinduja Global Solutions Ltd,HGSL
Hindustan Adhesives Ltd,HINDD
Hindustan Aeronautics Ltd,HIAE
Hindustan Agrigentics Ltd,HINDU
Hindustan Appliances Ltd,HINDA
Hindustan Bio Sciences Ltd,HIND
Hindustan Composites Ltd,HFRD
Hindustan Construction Company Ltd,HCNS
Hindustan Copper Ltd,HCPR
Hindustan Fluoro Carbons Ltd,HINF
Hindustan Foods Ltd,HFDS
Hindustan Hardy Ltd,HINDH
Hindustan Housing Company Ltd,ZHI
Hindustan Media Ventures Ltd,HINS
Hindustan Motors Ltd,HMTR
Hindustan Oil Exploration Company Ltd,HOEX
Hindustan Organic Chemicals Ltd,HOCL
Hindustan Petroleum Corp Ltd,HPCL
Hindustan Tin Works Ltd,HINDT
Hindustan Unilever Ltd,HLL
Hindustan Zinc Ltd,HZNC
Hindusthan National Glass And Industries Ltd,HNGI
Hindusthan Udyog Ltd,ZHIN
Hindusthan Urban Infrastructure Ltd,HUI
Hindware Home Innovation Ltd,SOMN
Hipolin Ltd,HIPO
Hira Automobiles Ltd,HIR
Hisar Metal Industries Ltd,HISR
Hisar Spinning Mills Ltd,HIS
Hitachi Energy India Ltd,ABBW
Hitech Corporation Ltd,HITE
Hittco Tools Ltd,HIT
Holmarc Opto-Mechatronics Ltd,HOL
Home First Finance Company India Ltd,HOM
Homesfy Realty Ltd,HOME
Honasa Consumer Ltd,HON
Honda India Power Products Ltd,HOND
Honeywell Automation India Ltd,HONE
Housing Development and Infrastructure Ltd,HDIL
Housing and Urban Development Corporation Ltd,HUDC
Howard Hotels Ltd,HOW
Hp Adhesives Ltd,HPA
Hrh Next Services Ltd,HRH
Hubtown Ltd,HUBT
Huhtamaki India Ltd,HUHT
Humming Bird Education Ltd,HBE
Husys Consulting Ltd,HUSY
Hybrid Financial Services Ltd,MFCL
Hypersoft Technologies Ltd,HYP
I G Petrochemicals Ltd,IGPT
IB Infotech Enterprises Ltd,IBI
IBL Finance Ltd,IBL
ICDS Ltd,ICDS
ICICI Bank Ltd,ICBK
ICICI Lombard General Insurance Company Ltd,ICIL
ICICI Pru Nifty 10 yr Benchmark G-sec ETF,ICIGI
ICICI Pru Nifty 5 yr Benchmark G-SEC ETF,ICICG
ICICI Pru Nifty Alpha Low- Volatility 30 ETF,ICIH
ICICI Pru Nifty Commodities ETF,ICICO
ICICI Pru Nifty Financial Services Ex-Bank ETF,ICIII
ICICI Prudential Gold ETF,IPEG
ICICI Prudential Life Insurance Company Ltd,ICIR
ICICI Prudential Nifty 100 ETF,ICIC
ICICI Prudential Nifty 100 Low Vol 30 ETF,IICI
ICICI Prudential Nifty 200 Momentum 30 ETF,ICICM
ICICI Prudential Nifty 200 Quality 30 ETF Regular,ICICQ
ICICI Prudential Nifty 50 ETF,ICNI
ICICI Prudential Nifty Auto ETF,ICICA
ICICI Prudential Nifty Bank ETF,ICIA
ICICI Prudential Nifty FMCG ETF,ICICF
ICICI Prudential Nifty Healthcare ETF,ICICI
ICICI Prudential Nifty IT ETF,IICR
ICICI Prudential Nifty India Consumption ETF,ICICC
ICICI Prudential Nifty Infrastructure ETF,ICICN
ICICI Prudential Nifty Midcap 150 ETF,IICP
ICICI Prudential Nifty Next 50 ETF,ICIT
ICICI Prudential Nifty PSU Bank ETF,PSU
ICICI Prudential Nifty Private Bank ETF,ICIV
ICICI Prudential Nifty50 Value 20 ETF,ICIN
ICICI Prudential S&P BSE 500 ETF,ICSP
ICICI Prudential S&P BSE Liquid Rate ETF,ICIP
ICICI Prudential S&P BSE Midcap Select ETF,ICIU
ICICI Prudential S&P BSE Sensex ETF,ICII
ICICI Prudential Silver ETF,ICICS
ICICI Securities Ltd,ICCI
ICRA Ltd,ICRA
IDBI Bank Ltd,IDBI
IDBI Gold Exchange Traded Fund,IDBE
IDFC First Bank Ltd,IDFB
IDFC Ltd,IDFC
IDFC Nifty 50 ETF,IFCN
IDFC Sensex ETF,IDF
IDream Film Infrastructure Company Ltd,SOFTB
IEL Ltd,INDX
IFB Agro Industries Ltd,IFBA
IFB Industries Ltd,IFBI
IFCI Ltd,IFCI
IFGL Refractories Ltd,IFGL
IFL Enterprises Ltd,IFL
IGC Industries Ltd,IGC
IIFL Finance Ltd,IIFL
IIFL Securities Ltd,IIFS
IITL Projects Ltd,IIT
IKIO Lighting Ltd,IKI
IL & FS Investment Managers Ltd,ILFS
IL&FS Transportation Networks Ltd,ILFT
IM+ Capitals Ltd,IMC
IMP Powers Ltd,IMPP
IND Swift Laboratories Ltd,ISLB
IOL Chemicals and Pharmaceuticals Ltd,IOLC
IP Rings Ltd,IPR
IPCA Laboratories Ltd,IPCA
IRB Infrastructure Developers Ltd,IRBI
IRB Infrastructure Trust,IRB
IRB InvIT Fund,IRBN
IRIS Business Services Ltd,IRI
ISF Ltd,ISF
ISMT Ltd,ISMT
IST Ltd,ISTL
ITC Ltd,ITC
ITCONS e-Solutions Ltd,ITCO
ITD Cementation India Ltd,ITCM
ITI Ltd,ITEL
ITL Industries Ltd,ITL
IVP Ltd,IVPL
Ice Make Refrigeration Ltd,ICEM
Id Info Business Services Ltd,IDI
Igarashi Motors India Ltd,IGAM
Il&Fs Engineering and Construction Company Ltd,ILFE
Imagicaaworld Entertainment Ltd,IMAW
Impex Ferro Tech Ltd,IMFT
Inani Marbles and Industries Ltd,INAN
Inani Securities Ltd,INA
Incap Ltd,INCA
Incon Engineers Ltd,INC
Incredible Industries Ltd,ADNK
Ind Bank Housing Ltd,INDBN
Ind Renewable Energy Ltd,INDR
Ind Swift Ltd,INSW
Indag Rubber Ltd,INDAG
Indbank Merchant Banking Services Ltd,IMBS
Indergiri Finance Ltd,INDE
India Cements Capital Ltd,INDCE
India Cements Ltd,ICMN
India Finsec Ltd,IFI
India Gelatine & Chemicals Ltd,INDG
India Glycols Ltd,IGLY
India Grid Trust,IGTR
India Home Loan Ltd,INDIH
India Infrastructure Trust,INF
India Lease Development Ltd,INDIL
India Motor Parts & Accessories Ltd,IMPA
India Nippon Electricals Ltd,INEL
India Pesticides Ltd,IPL
India Power Corporation Ltd,DPSC
India Shelter Finance Corporation Ltd,INDIS
India Steel Works Ltd,ISI
India Tourism Development Corp Ltd,ITDC
Indiabulls Enterprises Ltd,IEL
Indiabulls Housing Finance Ltd Partly Paidup,IBU
Indiabulls Housing Finance Ltd,INBF
Indiabulls NIFTY50 Exchange Traded Fund,IDTI
Indiabulls Real Estate Ltd,INRL
Indiamart Intermesh Ltd,INMR
Indian Acrylics Ltd,INDIR
Indian Bank,INBA
Indian Bright Steel Co Ltd,IBR
Indian Card Clothing Company Ltd,IDIC
Indian Energy Exchange Ltd,IIAN
Indian Highway Concessions Trust,IHC
Indian Hotels Company Ltd,IHTL
Indian Hume Pipe Company Ltd,IHME
Indian Infotech and Software Ltd,INDIF
Indian Metals and Ferro Alloys Ltd,IMFA
Indian Oil Corporation Ltd,IOC
Indian Overseas Bank,IOBK
Indian Railway Catering and Tourism Corporation Ltd,INIR
Indian Railway Finance Corp Ltd,IRF
Indian Renewable Energy Development Agency Ltd,IRE
Indian Sucrose Ltd,OSWAL
Indian Terrain Fashions Ltd,ITFL
Indian Toners & Developers Ltd,INDT
Indian Wood Products Co Ltd,IWP
Indianivesh Ltd,INDIA
Indifra Ltd,INDII
Indigo Paints Ltd,INDIG
Indinfravit Trust,INNF
Inditrade Capital Ltd,INDIC
Indo Amines Ltd,INDOM
Indo Borax and Chemicals Ltd,INDOB
Indo Cotspin Ltd,ICI
Indo Count Industries Ltd,ICNT
Indo Euro Indchem Ltd,INDOE
Indo Gulf Industries Ltd,IGL
Indo National Ltd,INNL
Indo Rama Synthetics (India) Ltd,IRSY
Indo Tech Transformers Ltd,INTT
Indo Thai Securities Ltd,ITSL
Indo Us Bio-Tech Ltd,IND
Indo-City Infotech Ltd,INDOC
IndoStar Capital Finance Ltd,INAC
Indoco Remedies Ltd,INRM
Indokem Ltd,IKEM
Indong Tea Company Ltd,INDON
Indowind Energy Ltd,INWI
Indoworth Holdings Ltd,UNIWS
Indra Industries Ltd,INDRA
Indraprastha Gas Ltd,IGAS
Indraprastha Medical Corporation Ltd,IMCL
Indrayani Biotech Ltd,INDRN
Indsil Hydro Power and Manganese Ltd,INDS
Indsoya Ltd,INDSO
Inducto Steels Ltd,INDC
Indus Finance Ltd,INDU
Indus Towers Ltd,BHRI
Indusind Bank Ltd,INBK
Industrial Investment Trust Ltd,INDI
Industrial and Prudential Investment Co Ltd,INDP
Inertia Steel Ltd,INE
Infibeam Avenues Ltd,IFIB
Infinium Pharmachem Ltd,INFIN
Inflame Appliances Ltd,INFL
Info Edge (India) Ltd,INED
Infobeans Technologies Ltd,IFOB
Infollion Research Services Ltd,INFOL
Infomedia Press Ltd,INFO
Informed Technologies India Ltd,INFOR
Infosys Ltd,INFY
Infronics Systems Ltd,INFR
Ingersoll-Rand (India) Ltd,INGR
Inland Printers Ltd,INL
Innocorp Ltd,INNOC
Innokaiz India Ltd,INNOK
Innova Captab Ltd,INNOP
Innovana Thinklabs Ltd,INTB
Innovassynth Investments Ltd,INO
Innovative Ideals and Services (India) Ltd,INN
Innovative Tech Pack Ltd,INNOV
Innovative Tyres & Tubes Ltd,INNA
Innovators Facade Systems Ltd,INNO
Innovatus Entertainment Networks Ltd,INNOA
Inox Green Energy Services Ltd,INOX
Inox India Ltd,INOXI
Inox Wind Energy Ltd,IWE
Inox Wind Ltd,INWN
Insecticides (India) Ltd,ISIL
Insolation Energy Ltd,INI
Inspire Films Ltd,INSPI
Inspirisys Solutions Ltd,INSP
Intec Capital Ltd,INTEA
Integra Capital Ltd,INTC
Integra Engineering India Ltd,INTEE
Integra Essentia Ltd,INGA
Integra Switchgear Ltd,INTES
Integra Telecommunication and Software Ltd,INTE
Integrated Capital Services Ltd,ICS
Integrated Hitech Ltd,INTEG
Integrated Industries Ltd,INTEC
Integrated Personnel Services Ltd,IPS
Integrated Proteins Ltd,INTED
Intellect Design Arena Ltd,INEE
Intelligent Supply Chain Infrastructure Trust,ISC
Intellivate Capital Ventures Ltd,INTEL
Intense Technologies Ltd,INTN
Inter Globe Finance Ltd,INTR
Interactive Financial Services Ltd,IFIN
Interglobe Aviation Ltd,INGL
Interiors & More Ltd,INM
International Combustion (India) Ltd,INTLC
International Conveyors Ltd,INTL
International Data Management Ltd,IDM
International Travel House Ltd,INTLT
Interstate Oil Carrier Ltd,INTS
Intrasoft Technologies Ltd,INSO
Inventure Growth & Securities Ltd,IGSL
Invesco India Gold Exchange Traded Fund,INVS
Invesco India Nifty 50 ETF,INVO
Investment & Precision Castings Ltd,INV
Investment Trust of India Ltd,TNVE
Ion Exchange (India) Ltd,ION
Ircon International Ltd,IRCN
Iris Clothings Ltd,IRIC
Irm Energy Ltd,IRM
Ironwood Education Ltd,GREY
Isgec Heavy Engineering Ltd,SARA
Ishaan Infrastructures and Shelters Ltd,IIS
Ishan Dyes and Chemicals Ltd,ISH
Ishan International Ltd,ISHA
Ishita Drugs and Industries Ltd,ISHI
Ishwarshakti Holding & Traders Ltd,ISHW
Isl Consulting Ltd,ISL
Italian Edibles Ltd,ITA
Izmo Ltd,IZMO
iStreet Network Ltd,IST
ideaForge Technology Ltd,IDE
J A Finance Ltd,JAF
J B Chemicals and Pharmaceuticals Ltd,JBCH
J C T Ltd,JCT
J J Finance Corporation Ltd,JJF
J K Cement Ltd,JKCE
J Kumar Infraprojects Ltd,JKIP
J Taparia Projects Ltd,JTA
JBM Auto Ltd,JBMA
JD Orgochem Ltd,JDO
JFL Life Sciences Ltd,JFLL
JG Chemicals Ltd,JGC
JHS Svendgaard Laboratories Ltd,JHSS
JITF Infralogistics Ltd,JITF
JK Agri Genetics Ltd,JKA
JK Lakshmi Cement Ltd,JKLC
JK Paper Ltd,JKPA
JK Tyre & Industries Ltd,JKIN
JLA Infraville Shoppers Ltd,JSH
JM Financial Ltd,JMSH
JMD Ventures Ltd,JMD
JMG Corporation Ltd,JMG
JMJ Fintech Ltd,MEL
JNK India Ltd,JNK
JSL Industries Ltd,JSL
JSW Energy Ltd,JSWE
JSW Holdings Ltd,JNSW
JSW Infrastructure Ltd,JSW
JSW Steel Ltd,JSTL
JTEKT India Ltd,JTEK
JTL Industries Ltd,JTL
Jackson Investments Ltd,JAC
Jagan Lamps Ltd,JAGA
Jagatjit Industries Ltd,JAGAJ
Jagjanani Textiles Ltd,JAG
Jagran Prakashan Ltd,JAGP
Jagsonpal Finance and Leasing Ltd,JAGS
Jagsonpal Pharmaceuticals Ltd,JGSN
Jai Balaji Industries Ltd,JAIB
Jai Corp Ltd,JAIC
Jai Mata Glass Ltd,JAIM
Jaihind Projects Ltd,JHNP
Jaihind Synthetics Ltd,JAIH
Jain Irrigation Systems Ltd,JAIRdv
Jain Irrigation Systems Ltd,JAIR
Jain Marmo Industries Ltd,JAI
Jainam Ferro Alloys (I) Ltd,JAINA
Jainco Projects (India) Ltd,JAINC
Jainex Aamcol Ltd,JAIN
Jaipan Industries Ltd,JAIP
Jaiprakash Associates Ltd,JAIA
Jaiprakash Power Ventures Ltd,JAPR
Jakharia Fabric Ltd,JAKH
Jalan Transolutions (India) Ltd,JALN
James Warren Tea Ltd,JAM
Jammu and Kashmir Bank Ltd,JKBK
Jamna Auto Industries Ltd,JMNA
Jamshri Realty Ltd,JAMS
Jana Small Finance Bank Ltd,JSF
Janus Corporation Ltd,JAN
Jasch Gauging Technologies Ltd,JGT
Jasch Industries Ltd,JAS
Jash Engineering Ltd,JSHE
Jattashankar Industries Ltd,JATT
Jauss Polymers Ltd,JAU
Jay Bharat Maruti Ltd,JYBM
Jay Jalaram Technologies Ltd,KOR
Jay Kailash Namkeen Ltd,JAYK
Jay Shree Tea and Industries Ltd,JYST
Jay Ushin Ltd,JAYU
Jayabharat Credit Ltd,JAYB
Jayant Agro-Organics Ltd,JAAO
Jayant Infratech Ltd,JAYAN
Jayaswal Neco Industries Ltd,JAYN
Jayatma Enterprises Ltd,JAYA
Jayatma Industries Ltd,JAYI
Jaykay Enterprises Ltd,JKS
Jayshree Chemicals Ltd,JAY
Jaysynth Dyestuff (India) Ltd,JAYD
Jeena Sikho Lifecare Ltd,JSLL
Jeevan Scientific Technology Ltd,JST
Jenburkt Pharmaceuticals Ltd,JEN
Jet Airways (India) Ltd,JET
Jet Freight Logistics Ltd,JETR
Jet Knitwears Ltd,JETK
Jet infraventure Ltd,JETI
Jetking Infotrain Ltd,JETKI
Jetmall Spices and Masala Ltd,JETM
Jhandewalas Foods Ltd,JFL
Jhaveri Credits and Capital Ltd,JHA
Jigar Cables Ltd,JIG
Jindal Capital Ltd,JINDC
Jindal Drilling and Industries Ltd,JNDR
Jindal Hotels Ltd,JINDH
Jindal Leasefin Ltd,JLL
Jindal Photo Ltd,JINP
Jindal Poly Films Ltd,JPLY
Jindal Poly Investment and Finance Company Ltd,JINL
Jindal SAW Ltd,JIND
Jindal Stainless Ltd,JIST
Jindal Steel And Power Ltd,JNSP
Jindal Worldwide Ltd,JINW
Jio Financial Services Ltd,JIO
Jiwanram Sheoduttrai Industries Ltd,JIW
Jocil Ltd,JOCI
John Cockerill India Ltd,FLA
Johnson Controls-Hitachi Air Conditioning India Ltd,JCHA
Johnson Pharmacare Ltd,SUNS
Joindre Capital Services Ltd,JOIN
Jointeca Education Solutions Ltd,JOI
Jonjua Overseas Ltd,JON
Jost's Engineering Company Ltd,JOS
Jubilant Foodworks Ltd,JUBI
Jubilant Industries Ltd,JUBL
Jubilant Ingrevia Ltd,JUB
Jubilant Pharmova Ltd,JULS
Julien Agro Infratech Ltd,SIL
Jullundur Motor Agency (Delhi) Ltd,JULL
Jumbo Bag Ltd,JUMB
Jumbo Finance Ltd,JUM
Juniper Hotels Ltd,JUN
Jupiter Industries and Leasing Ltd,JPTR
Jupiter Infomedia Ltd,JUP
Jupiter Life Line Hospitals Ltd,JLH
Jupiter Wagons Ltd,CEBB
Just Dial Ltd,JUST
Jyot International Marketing Ltd,JYO
Jyothi Infraventures Ltd,JYOT
Jyothy Labs Ltd,JYOI
Jyoti CNC Automation Ltd,JYOTC
Jyoti Ltd,JYOTJ
Jyoti Resins and Adhesives Ltd,JYOTI
Jyoti Structures Ltd,JYTS
K G Denim Ltd,KGD
K I C Metaliks Ltd,KAJ
K K Fincorp Ltd,KKF
K M Sugar Mills Ltd,KMSU
K Z Leasing and Finance Ltd,KZL
K&R Rail Engineering Ltd,KRR
K.P. Energy Ltd,KPE
K2 Infragen Ltd,KINF
KBC Global Ltd,KARD
KBS India Ltd,KBS
KCD Industries India Ltd,KCD
KCK Industries Ltd,KCK
KCP Ltd,KCP
KCP Sugar and Industries Corp Ltd,KCPS
KDDL Ltd,KDDL
KEC International Ltd,KECL
KEI Industries Ltd,KEIN
KG Petrochem Ltd,KGP
KIOCL Ltd,KIOC
KJMC Corporate Advisors (India) Ltd,KJM
KJMC Financial Services Ltd,KJMC
KK Shah Hospitals Limited,KKS
KKRRAFTON Developers Limited,KDK
KKV Agro Powers Limited,KKVA
KMC Speciality Hospitals (India) Ltd,KMC
KMF Builders and Developers Ltd,KMF
KMG Milk Food Ltd,KMG
KMS Medisurgi Ltd,KMSM
KN Agri Resources Ltd,KNA
KNR Constructions Ltd,KNRL
KOBO Biotech Ltd,AVO
KP Green Engineering Ltd,KPG
KPI Green Energy Ltd,KPI
KPIT Technologies Ltd,KPIE
KPR Mill Ltd,KPRM
KPT Industries Ltd,KPT
KRBL Ltd,KRBL
KSB Ltd,KSBL
KSE Ltd,KSE
KSHITIJ Investments Ltd,KSH
Kaarya Facilities & Services Ltd,KAA
Kabra Commercial Ltd,KCL
Kabra Extrusion Technik Ltd,KBRE
Kabsons Industries Ltd,KAB
Kachchh Minerals Ltd,KAC
Kahan Packaging Ltd,KAH
Kaira Can Co Ltd,KAIR
Kaiser Corporation Ltd,KACL
Kaizen Agro Infrabuild Ltd,ANUB
Kajal Synthetics and Silk Mills Ltd,KAJA
Kajaria Ceramics Ltd,KAJR
Kaka Industries Ltd,KAKA
Kakatiya Cement Sugar and Industries Ltd,KKTY
Kakatiya Textiles Ltd,KAK
Kalahridhaan Trendz Ltd,KTL
Kallam Textiles Ltd,KALL
Kalpataru Projects International Ltd,KAPT
Kalyan Capitals Ltd,AKA
Kalyan Jewellers India Ltd,KALYA
Kalyani Cast-Tech Ltd,KALYN
Kalyani Commercials Ltd,KLYA
Kalyani Forge Ltd,KALF
Kalyani Investment Company Ltd,KALA
Kalyani Steels Ltd,KLSL
Kama Holdings Ltd,KAM
Kamadgiri Fashion Ltd,KAMA
Kamanwala Housing Construction Ltd,KAMAN
Kamat Hotels (India) Ltd,KAMT
Kamdhenu Ltd,KAMI
Kamdhenu Ventures Ltd,KAMO
Kanak Krishi Implements Ltd,KKI
Kanani Industries Ltd,KANN
Kanchi Karpooram Ltd,KANCH
Kanco Tea & Industries Ltd,KANC
Kandagiri Spinning Millis Ltd,KAND
Kandarp Digi Smart Bpo Ltd,KANDA
Kanel Industries Ltd,KANEL
Kanishk Steel Industries Ltd,KANSH
Kanoria Chemicals and Industries Ltd,KNRC
Kanoria Energy & Infrastructure Limited,AIN
Kanpur Plastipack Ltd,KANP
Kansai Nerolac Paints Ltd,KANE
Kanungo Financiers Ltd,KAN
Kapil Cotex Ltd,KAPI
Kapil Raj Finance Ltd,KAP
Kapston Services Ltd,KAPS
Karma Energy Ltd,KRME
Karnataka Bank Ltd,KBNK
Karnavati Finance Ltd,KAR
Karnika Industries Ltd,KARN
Karnimata Cold Storage Ltd,KCS
Karur Vysya Bank Ltd,KARU
Kashyap Tele-Medicines Ltd,KAS
Katare Spinning Mills Ltd,KAT
Kaushalya Infrastructure Development Corporation Ltd,KAUS
Kaushalya Logistics Ltd,KKL
Kaveri Seed Company Ltd,KVRI
Kavveri Telecom Products Ltd,KATL
Kay Cee Energy & Infra Ltd,KCE
Kay Power and Paper Ltd,KAY
Kaya Ltd,KAYA
Kaycee Industries Ltd,KAYC
Kaynes Technology India Ltd,KAYN
Kcl Infra Projects Ltd,KCLI
Kedia Construction Co Ltd,KED
Keerthi Industries Ltd,KEE
Kellton Tech Solutions Ltd,KELL
Keltech Energies Ltd,KELE
Kemistar Corporation Ltd,KEM
Kemp and Company Ltd,KEMP
Ken Financial Services Ltd,KENF
Kennametal India Ltd,KENI
Kenvi Jewels Ltd,KEN
Kerala Ayurveda Ltd,KER
Kernex Microsystems (India) Ltd,KMIL
Kesar Enterprises Ltd,KSRE
Kesar India Ltd,KESA
Kesar Petroproducts Ltd,KES
Kesar Terminals & Infrastructure Ltd,KESR
Kesoram Industries Ltd,KSRM
Kewal Kiran Clothing Ltd,KKCL
Key Corp Ltd,KEY
Keynote Financial Services Ltd,KEYN
Keystone Realtors Ltd,RUST
Kfin Technologies Ltd,KFI
Khadim India Ltd,KHAD
Khaitan (India) Ltd,KHAI
Khaitan Chemicals and Fertilizers Ltd,KHA
Khandelwal Extractions Ltd,ZKHA
Khandwala Securities Ltd,KHSE
Khazanchi Jewellers Ltd,KHAZ
Khemani Distributors & Marketing Ltd,KDM
Khfm Hospitality and Facility Management Services Ltd,KHFM
Khoobsurat Ltd,KHO
Kiduja India Ltd,KID
Kifs Financial Services Ltd,KIF
Kilburn Engineering Ltd,KILBU
Kilitch Drugs (India) Ltd,KIDI
